"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GSTO1",-8.11286600376784,8.83387798004448,-36.4934462922579,9.83987184284218e-21,1.47007685332062e-17,37.6198329433966
"LYPLA1",-8.01540619288366,8.74399575267513,-15.7947825712552,2.93324229792025e-13,2.19113199654643e-10,20.4775443715586
"YWHAH",-6.3723328532721,8.35969107404183,-7.93882257087959,8.26101939186071e-08,1.76313756734856e-05,8.18127853272814
"PSMD10",-6.32455915019592,8.28949421056965,-7.65939570606783,1.46762692787207e-07,2.43626070026764e-05,7.54866550962473
"MTAP",-6.23969517273767,8.29908458643748,-7.48999016846308,2.08998176539334e-07,2.94189127484985e-05,7.23965968939043
"SPTAN1",-6.14032250056256,8.27599253604331,-6.69890106491667,1.14574086855844e-06,8.15112789345861e-05,5.60768974867189
"EIF2B2",-6.29247640749495,8.19925077055725,-6.90969546606834,7.22233310022112e-07,6.27126934567005e-05,5.4548996806532
"HNRNPH3",6.34703625800573,5.1082108966089,10.4227951480312,7.77989383427554e-10,3.87438712946922e-07,5.36238241999499
"VPS26A",6.29743285264443,4.81725484747077,8.92346379805198,1.1841683413119e-08,4.42286875479996e-06,4.39345565650718
"IGKV3D-11",-6.08141966482848,8.08594606133465,-6.29277562116847,2.83248532046509e-06,0.000175533822298409,3.9688642818294
"EIF3I",5.77773348830531,5.17806277337074,8.02077663019184,6.99349026150012e-08,1.74137907511353e-05,3.56145206792279
"NAXE",-6.05192451417051,7.99318954385564,-6.1416176493751,3.98781234679344e-06,0.000229145832542669,3.39344878488157
"AIMP2",5.68380768992725,5.23973902179719,7.80990801717785,1.07550983681325e-07,2.00851462024875e-05,3.36412207503998
"IDI1",-6.04903700279535,7.97803983359562,-6.09044435186699,4.4802215602831e-06,0.000246843748271087,3.25460106685715
"FAHD1",-6.02334681855551,7.95084738602141,-6.07637038145901,4.62625498767766e-06,0.000246843748271087,3.15440032109066
"LMAN2",5.7867162514678,4.99893271984816,7.47296022951908,2.16605113944768e-07,2.94189127484985e-05,3.08043651588844
"TATDN1",-5.07351378400965,8.33927586591757,-5.52163513923425,1.66694397879839e-05,0.000711546944092799,3.04938257276111
"PAICS",-5.94223742418657,7.98529973876038,-5.9145504113826,6.70053288014608e-06,0.000322922455578653,2.98614355002546
"PSMC5",5.69348693041751,5.18513981394159,7.31285892717674,3.03709669664882e-07,3.49905552235585e-05,2.89528638241999
"HNRNPM",5.7108893833793,5.18386638250955,7.31168159111548,3.04469356028286e-07,3.49905552235585e-05,2.88974588294835
"GPS1",-5.92338457093128,7.92745337682417,-5.80015846373844,8.72186865180218e-06,0.00039486278078159,2.62575810802885
"RAB2A",5.31118998196481,5.75383969962469,7.04465455291398,5.39132558174286e-07,5.67361677826884e-05,2.55508405154346
"HNRNPA0",5.32027026070456,5.66203988580876,7.01916269864821,5.69640238782012e-07,5.67361677826884e-05,2.55224347274652
"PSPC1",5.28199303824621,5.54856541035497,6.88896241369601,7.55574619960246e-07,6.27126934567005e-05,2.39996602605536
"RUVBL1",5.32624345896256,5.41528614573544,6.73111289933755,1.0673312185608e-06,8.15112789345861e-05,2.28136509354373
"RPL28",5.3210418445872,5.51106830075932,6.71833068960309,1.09776436405126e-06,8.15112789345861e-05,2.24037823771217
"MPI",-5.43505487090727,8.08999173188525,-5.28441873677036,2.91140429843947e-05,0.00117557784374826,2.12962756737028
"FKBP1A",-5.42366324086099,8.08779582413066,-5.26903392934738,3.01914870872833e-05,0.00118700215022109,2.08790636693918
"FBL",5.35985362395832,5.47213274942368,6.47294889948403,1.89090039042242e-06,0.000122826312317004,1.99262688889724
"CZIB",-5.42877990234136,8.0618362864621,-5.22374629771698,3.36040221880792e-05,0.00125511022872476,1.93959740120237
"GSTM3",-5.44651343795626,8.0566765728188,-5.22656708378318,3.3380465771815e-05,0.00125511022872476,1.93839612959711
"TPPP3",5.26369850788507,5.53342040608227,6.27665967353869,2.93731295680069e-06,0.000175533822298409,1.76540561763623
"BCAP31",-5.42272905355263,7.98807853925757,-5.15315970534051,3.97211928176041e-05,0.00144740151389026,1.69813119803182
"SLC25A5",-5.38181322680323,7.99567716821618,-5.09753255688305,4.53293197878412e-05,0.00161242866102464,1.61538362317077
"NAGK",5.26513505838494,5.49243952655344,6.05079980845753,4.90415765122921e-06,0.000252648673480567,1.51694071685273
"PA2G4",-5.35110984615983,7.9971301103241,-5.04404509640982,5.14782488684442e-05,0.00172139215434048,1.48816975815431
"PFDN2",-5.3694440147505,7.95518942107751,-5.04102886311787,5.18491612753157e-05,0.00172139215434048,1.41017183138326
"EIF2S1",-5.34419444232629,7.97088252260402,-5.00503723239481,5.64896101526377e-05,0.00182105218805467,1.37198192616417
"ADH5",-5.33911158078639,7.97653036617794,-4.99914215074762,5.72887903872622e-05,0.00182105218805467,1.36910473506181
